"id","code","name","group_id:id","reconcile","user_type_id:id","chart_template_id:id","tag_ids:id"
"co_niif_fin_110505",110505,"Efectivo","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_110510",110510,"Cheques","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_110515",110515,"Depósitos Por Primas Recaudadas","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_110520",110520,"Caja Menor","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_110595",110595,"Otros Caja","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111005",111005,"Cuenta Corriente Bancaria","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111010",111010,"Certificados De Cambio Propios","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111015",111015,"Certificados De Cambio En Administración","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111020",111020,"Depósitos De Contracción Monetaria","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111095",111095,"Depósitos De Contracción Monetaria","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111505",111505,"Bancos Nacionales","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111510",111510,"Bancos Del Exterior","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111515",111515,"Corresponsales","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111520",111520,"Sucursales En El Extranjero","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111525",111525,"Depósitos Por Primas Recaudadas","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_111595",111595,"Otras Entidades Financieras","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_112005",112005,"Canje","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_112095",112095,"Otros Canje","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_112505",112505,"Administración De Liquidez ","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_112595",112595,"Canje","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
"co_niif_fin_113005",113005,"Cheques País","l10n_co_accounting_group_1_1_efe_equ",1,"account.data_account_type_liquidity","l10n_co_chart_template_niif_financiero",
